keySpace.keys,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.068518506,-0.261111179,1,0,0,1.74922,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/905070_left.png,stimuli/lakes/905070_right.png,,,,0,32,32,70,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.156481471,-0.430555569,1,0,0,1.478325,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/7090128_left.png,stimuli/lakes/7090128_right.png,,,,0,33,33,128,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.171296286,-0.412962977,1,0,0,1.290155,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/906088_left.png,stimuli/lakes/906088_right.png,,,,0,34,34,88,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.047222236,-0.253703715,1,0,0,2.498755,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/5090125_left.png,stimuli/lakes/5090125_right.png,,,,0,35,35,125,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.130555544,-0.348148161,1,0,0,1.95771,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6090126_left.png,stimuli/lakes/6090126_right.png,,,,0,36,36,126,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.152777793,-0.367592662,1,0,0,1.270345,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/503036_left.png,stimuli/lakes/503036_right.png,,,,0,37,37,36,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.096296311,-0.277777789,1,0,0,1.416345,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/702019_left.png,stimuli/lakes/702019_right.png,,,,0,38,38,19,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.125000015,-0.331481494,1,0,0,1.083115,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/203024_left.png,stimuli/lakes/203024_right.png,,,,0,39,39,24,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.053703635,-0.246296307,1,0,0,1.93598,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/804048_left.png,stimuli/lakes/804048_right.png,,,,0,40,40,48,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.151851841,-0.39537044,1,0,0,1.895375,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6090127_left.png,stimuli/lakes/6090127_right.png,,,,0,41,41,127,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.104629561,-0.298148217,1,0,0,1.936705,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/606076_left.png,stimuli/lakes/606076_right.png,,,,0,42,42,76,1,,,,,
